index,well,date,tide
1,1.312,3/30/2010 0:00,-0.888
2,1.312,3/30/2010 1:00,-1.373
3,1.302,3/30/2010 2:00,-1.768
4,1.292,3/30/2010 3:00,-2.073
5,1.292,3/30/2010 4:00,-1.988
6,1.292,3/30/2010 5:00,-1.568
7,1.282,3/30/2010 6:00,-1.014666667
8,1.282,3/30/2010 7:00,-0.4355
9,1.282,3/30/2010 8:00,0.072
10,1.282,3/30/2010 9:00,0.357
11,1.282,3/30/2010 10:00,0.157
12,1.262,3/30/2010 11:00,-0.3355
13,1.262,3/30/2010 12:00,-0.921333333
14,1.252,3/30/2010 13:00,-1.401333333
15,1.252,3/30/2010 14:00,-1.871333333
16,1.252,3/30/2010 15:00,-2.243
17,1.242,3/30/2010 16:00,-2.358
18,1.242,3/30/2010 17:00,-2.064666667
19,1.242,3/30/2010 18:00,-1.4905
20,1.232,3/30/2010 19:00,-0.7905
21,1.232,3/30/2010 20:00,-0.134666667
22,1.222,3/30/2010 21:00,0.317
23,1.222,3/30/2010 22:00,0.472
24,1.222,3/30/2010 23:00,0.072
25,1.212,3/31/2010 0:00,-0.5455
26,1.212,3/31/2010 1:00,-1.131333333
27,1.212,3/31/2010 2:00,-1.644666667
28,1.212,3/31/2010 3:00,-2.033
29,1.202,3/31/2010 4:00,-2.278
30,1.202,3/31/2010 5:00,-2.168
31,1.202,3/31/2010 6:00,-1.783
32,1.152,3/31/2010 7:00,-1.1455
33,1.152,3/31/2010 8:00,-0.591333333
34,1.152,3/31/2010 9:00,-0.078
35,1.142,3/31/2010 10:00,0.062
36,1.142,3/31/2010 11:00,-0.214666667
37,1.132,3/31/2010 12:00,-0.691333333
38,1.122,3/31/2010 13:00,-1.201333333
39,1.122,3/31/2010 14:00,-1.704666667
40,1.112,3/31/2010 15:00,-2.184666667
41,1.112,3/31/2010 16:00,-2.468
42,1.102,3/31/2010 17:00,-2.488
43,1.102,3/31/2010 18:00,-2.153
44,1.102,3/31/2010 19:00,-1.571333333
45,1.092,3/31/2010 20:00,-0.9355
46,1.082,3/31/2010 21:00,-0.248
47,1.082,3/31/2010 22:00,0.257
48,1.072,3/31/2010 23:00,0.262
49,1.072,4/1/2010 0:00,-0.1255
50,1.072,4/1/2010 1:00,-0.704666667
51,1.062,4/1/2010 2:00,-1.174666667
52,1.062,4/1/2010 3:00,-1.641333333
53,1.062,4/1/2010 4:00,-1.998
54,1.062,4/1/2010 5:00,-2.153
55,1.062,4/1/2010 6:00,-1.903
56,1.062,4/1/2010 7:00,-1.403
57,1.052,4/1/2010 8:00,-0.821333333
58,1.052,4/1/2010 9:00,-0.284666667
59,1.052,4/1/2010 10:00,0.102
60,1.052,4/1/2010 11:00,0.182
61,1.042,4/1/2010 12:00,-0.191333333
62,1.042,4/1/2010 13:00,-0.678
63,1.042,4/1/2010 14:00,-1.218
64,1.042,4/1/2010 15:00,-1.751333333
65,1.032,4/1/2010 16:00,-2.123
66,1.032,4/1/2010 17:00,-2.348
67,1.032,4/1/2010 18:00,-2.248
68,1.022,4/1/2010 19:00,-1.8455
69,1.022,4/1/2010 20:00,-1.1555
70,1.022,4/1/2010 21:00,-0.508
71,1.022,4/1/2010 22:00,0.035333333
72,1.022,4/1/2010 23:00,0.382
73,1.022,4/2/2010 0:00,0.282
74,1.022,4/2/2010 1:00,-0.108
75,1.022,4/2/2010 2:00,-0.6455
76,1.012,4/2/2010 3:00,-1.171333333
77,1.012,4/2/2010 4:00,-1.573
78,1.012,4/2/2010 5:00,-1.873
79,0.992,4/2/2010 6:00,-1.898
80,0.992,4/2/2010 7:00,-1.561333333
81,0.982,4/2/2010 8:00,-1.068
82,0.982,4/2/2010 9:00,-0.581333333
83,0.982,4/2/2010 10:00,-0.118
84,0.922,4/2/2010 11:00,0.207
85,0.922,4/2/2010 12:00,0.112
86,0.922,4/2/2010 13:00,-0.218
87,0.922,4/2/2010 14:00,-0.721333333
88,0.922,4/2/2010 15:00,-1.204666667
89,0.912,4/2/2010 16:00,-1.694666667
90,0.912,4/2/2010 17:00,-2.058
91,0.912,4/2/2010 18:00,-2.228
92,0.902,4/2/2010 19:00,-2.038
93,0.902,4/2/2010 20:00,-1.5655
94,0.902,4/2/2010 21:00,-0.991333333
95,0.892,4/2/2010 22:00,-0.4055
96,0.892,4/2/2010 23:00,0.097
97,0.892,4/3/2010 0:00,0.297
98,0.892,4/3/2010 1:00,0.072
99,0.892,4/3/2010 2:00,-0.311333333
100,0.892,4/3/2010 3:00,-0.798
101,0.882,4/3/2010 4:00,-1.251333333
102,0.882,4/3/2010 5:00,-1.623
103,0.882,4/3/2010 6:00,-1.838
104,0.872,4/3/2010 7:00,-1.803
105,0.852,4/3/2010 8:00,-1.441333333
106,0.852,4/3/2010 9:00,-0.961333333
107,0.842,4/3/2010 10:00,-0.478
108,0.842,4/3/2010 11:00,-0.088
109,0.842,4/3/2010 12:00,0.102
110,0.832,4/3/2010 13:00,-0.118
111,0.822,4/3/2010 14:00,-0.493
