index,well,date,tide,
1,0.442,3/28/2015 0:00,-0.993,
2,0.452,3/28/2015 1:00,-0.591333333,
3,0.452,3/28/2015 2:00,-0.233,
4,0.452,3/28/2015 3:00,-0.048,
5,0.452,3/28/2015 4:00,-0.133,
6,0.452,3/28/2015 5:00,-0.388,
7,0.452,3/28/2015 6:00,-0.778,
8,0.452,3/28/2015 7:00,-1.123,
9,0.452,3/28/2015 8:00,-1.418,
10,0.452,3/28/2015 9:00,-1.678,
11,0.452,3/28/2015 10:00,-1.778,
12,0.452,3/28/2015 11:00,-1.588,
13,0.452,3/28/2015 12:00,-1.308,
14,0.452,3/28/2015 13:00,-0.904666667,
15,0.452,3/28/2015 14:00,-0.543,
16,0.452,3/28/2015 15:00,-0.348,
17,0.442,3/28/2015 16:00,-0.248,
18,0.442,3/28/2015 17:00,-0.363,
19,0.442,3/28/2015 18:00,-0.673,
20,0.442,3/28/2015 19:00,-1.098,
21,0.442,3/28/2015 20:00,-1.463,
22,0.442,3/28/2015 21:00,-1.763,
23,0.442,3/28/2015 22:00,-1.968,
24,0.442,3/28/2015 23:00,-1.988,
25,0.442,3/29/2015 0:00,-1.738,
26,0.442,3/29/2015 1:00,-1.301333333,
27,0.442,3/29/2015 2:00,-0.913,
28,0.442,3/29/2015 3:00,-0.623,
29,0.442,3/29/2015 4:00,-0.418,
30,0.442,3/29/2015 5:00,-0.298,
31,0.442,3/29/2015 6:00,-0.564666667,
32,0.442,3/29/2015 7:00,-0.918,
33,0.442,3/29/2015 8:00,-1.271333333,
34,0.432,3/29/2015 9:00,-1.658,
35,0.432,3/29/2015 10:00,-1.888,
36,0.432,3/29/2015 11:00,-1.998,
37,0.432,3/29/2015 12:00,-1.863,
38,0.432,3/29/2015 13:00,-1.548,
39,0.432,3/29/2015 14:00,-1.213,
40,0.432,3/29/2015 15:00,-0.918,
41,0.432,3/29/2015 16:00,-0.618,
42,0.432,3/29/2015 17:00,-0.468,
43,0.432,3/29/2015 18:00,-0.643,
44,0.432,3/29/2015 19:00,-0.908,
45,0.422,3/29/2015 20:00,-1.228,
46,0.422,3/29/2015 21:00,-1.588,
47,0.422,3/29/2015 22:00,-1.878,
48,0.422,3/29/2015 23:00,-2.008,
49,0.422,3/30/2015 0:00,-1.993,
50,0.422,3/30/2015 1:00,-1.703,
51,0.422,3/30/2015 2:00,-1.348,
52,0.422,3/30/2015 3:00,-0.928,
53,0.422,3/30/2015 4:00,-0.548,
54,0.422,3/30/2015 5:00,-0.298,
55,0.422,3/30/2015 6:00,-0.288,
56,0.422,3/30/2015 7:00,-0.493,
57,0.422,3/30/2015 8:00,-0.874666667,
58,0.422,3/30/2015 9:00,-1.253,
59,0.422,3/30/2015 10:00,-1.568,
60,0.422,3/30/2015 11:00,-1.758,
61,0.422,3/30/2015 12:00,-1.858,
62,0.422,3/30/2015 13:00,-1.673,
63,0.422,3/30/2015 14:00,-1.274666667,
64,0.412,3/30/2015 15:00,-0.878,
65,0.412,3/30/2015 16:00,-0.548,
66,0.412,3/30/2015 17:00,-0.238,
67,0.412,3/30/2015 18:00,-0.078,
68,0.412,3/30/2015 19:00,-0.273,
69,0.412,3/30/2015 20:00,-0.583,
70,0.412,3/30/2015 21:00,-0.954666667,
71,0.412,3/30/2015 22:00,-1.378,
72,0.412,3/30/2015 23:00,-1.688,
73,0.412,3/31/2015 0:00,-1.868,
74,0.412,3/31/2015 1:00,-1.788,
75,0.412,3/31/2015 2:00,-1.468,
76,0.412,3/31/2015 3:00,-1.081333333,
77,0.412,3/31/2015 4:00,-0.601333333,
78,0.412,3/31/2015 5:00,-0.193,
79,0.412,3/31/2015 6:00,-0.008,
80,0.412,3/31/2015 7:00,-0.098,
81,0.412,3/31/2015 8:00,-0.393,
82,0.412,3/31/2015 9:00,-0.778,
83,0.412,3/31/2015 10:00,-1.148,
84,0.402,3/31/2015 11:00,-1.453,
85,0.402,3/31/2015 12:00,-1.718,
86,0.402,3/31/2015 13:00,-1.708,
87,0.402,3/31/2015 14:00,-1.493,
88,0.402,3/31/2015 15:00,-1.118,
89,0.402,3/31/2015 16:00,-0.618,
90,0.392,3/31/2015 17:00,-0.238,
91,0.392,3/31/2015 18:00,0.037,
92,0.392,3/31/2015 19:00,0.082,
93,0.392,3/31/2015 20:00,-0.118,
94,0.392,3/31/2015 21:00,-0.534666667,
95,0.392,3/31/2015 22:00,-0.963,
96,0.392,3/31/2015 23:00,-1.328,
97,0.392,4/1/2015 0:00,-1.673,
98,0.392,4/1/2015 1:00,-1.838,
99,0.392,4/1/2015 2:00,-1.703,
100,0.392,4/1/2015 3:00,-1.318,
101,0.392,4/1/2015 4:00,-0.838,
102,0.392,4/1/2015 5:00,-0.394666667,
103,0.392,4/1/2015 6:00,-0.033,
104,0.392,4/1/2015 7:00,0.162,
105,0.392,4/1/2015 8:00,-0.018,
106,0.392,4/1/2015 9:00,-0.388,
107,0.382,4/1/2015 10:00,-0.828,
108,0.382,4/1/2015 11:00,-1.228,
109,0.382,4/1/2015 12:00,-1.591333333,
110,0.372,4/1/2015 13:00,-1.878,
111,0.372,4/1/2015 14:00,-1.778,
112,0.372,4/1/2015 15:00,-1.461333333,
113,0.372,4/1/2015 16:00,-0.981333333,
114,0.372,4/1/2015 17:00,-0.494666667,
115,0.372,4/1/2015 18:00,-0.073,
116,0.372,4/1/2015 19:00,0.202,
117,0.372,4/1/2015 20:00,0.172,
118,0.362,4/1/2015 21:00,-0.124666667,
119,0.362,4/1/2015 22:00,-0.591333333,
120,0.362,4/1/2015 23:00,-1.034666667,
121,0.362,4/2/2015 0:00,-1.484666667,
122,0.362,4/2/2015 1:00,-1.758,
123,0.362,4/2/2015 2:00,-1.878,
124,0.362,4/2/2015 3:00,-1.691333333,
125,0.362,4/2/2015 4:00,-1.248,
126,0.362,4/2/2015 5:00,-0.764666667,
127,0.362,4/2/2015 6:00,-0.291333333,
128,0.362,4/2/2015 7:00,0.082,
129,0.362,4/2/2015 8:00,0.172,
130,0.362,4/2/2015 9:00,-0.084666667,
131,0.362,4/2/2015 10:00,-0.488,
132,0.362,4/2/2015 11:00,-0.963,
133,0.352,4/2/2015 12:00,-1.403,
134,0.352,4/2/2015 13:00,-1.698,
135,0.352,4/2/2015 14:00,-1.928,
136,0.352,4/2/2015 15:00,-1.798,
137,0.352,4/2/2015 16:00,-1.414666667,
138,0.352,4/2/2015 17:00,-0.908,
139,0.352,4/2/2015 18:00,-0.441333333,
140,0.352,4/2/2015 19:00,-0.013,
141,0.352,4/2/2015 20:00,0.172,
142,0.352,4/2/2015 21:00,0.062,
143,0.352,4/2/2015 22:00,-0.311333333,
144,0.352,4/2/2015 23:00,-0.781333333,
145,0.342,4/3/2015 0:00,-1.234666667,
146,0.342,4/3/2015 1:00,-1.618,
147,0.342,4/3/2015 2:00,-1.878,
148,0.342,4/3/2015 3:00,-1.848,
149,0.342,4/3/2015 4:00,-1.541333333,
150,0.342,4/3/2015 5:00,-1.068,
151,0.342,4/3/2015 6:00,-0.541333333,
152,0.342,4/3/2015 7:00,-0.038,
153,0.342,4/3/2015 8:00,0.242,
154,0.342,4/3/2015 9:00,0.157,
155,0.342,4/3/2015 10:00,-0.214666667,
156,0.342,4/3/2015 11:00,-0.684666667,
157,0.342,4/3/2015 12:00,-1.144666667,
158,0.332,4/3/2015 13:00,-1.538,
159,0.332,4/3/2015 14:00,-1.863,
160,0.332,4/3/2015 15:00,-2.038,
161,0.332,4/3/2015 16:00,-1.754666667,
162,0.332,4/3/2015 17:00,-1.288,
163,0.332,4/3/2015 18:00,-0.758,
164,0.332,4/3/2015 19:00,-0.248,
165,0.332,4/3/2015 20:00,0.112,
166,0.332,4/3/2015 21:00,0.282,
167,0.332,4/3/2015 22:00,0.038666667,
168,0.322,4/3/2015 23:00,-0.434666667,
169,0.322,4/4/2015 0:00,-0.928,
170,0.322,4/4/2015 1:00,-1.388,
171,0.322,4/4/2015 2:00,-1.753,
172,0.322,4/4/2015 3:00,-1.938,
173,0.322,4/4/2015 4:00,-1.748,
174,0.322,4/4/2015 5:00,-1.364666667,
175,0.322,4/4/2015 6:00,-0.911333333,
176,0.322,4/4/2015 7:00,-0.444666667,
177,0.322,4/4/2015 8:00,0.005333333,
178,0.322,4/4/2015 9:00,0.122,
179,0.322,4/4/2015 10:00,-0.083,
180,0.322,4/4/2015 11:00,-0.488,
181,0.322,4/4/2015 12:00,-0.948,
182,0.322,4/4/2015 13:00,-1.418,
183,0.322,4/4/2015 14:00,-1.818,
184,0.322,4/4/2015 15:00,-2.048,
185,0.322,4/4/2015 16:00,-1.993,
186,0.312,4/4/2015 17:00,-1.594666667,
187,0.312,4/4/2015 18:00,-1.084666667,
188,0.312,4/4/2015 19:00,-0.5105,
189,0.312,4/4/2015 20:00,0.038666667,
190,0.312,4/4/2015 21:00,0.312,
191,0.312,4/4/2015 22:00,0.307,
192,0.312,4/4/2015 23:00,-0.058,
193,0.312,4/5/2015 0:00,-0.564666667,
194,0.312,4/5/2015 1:00,-1.034666667,
195,0.312,4/5/2015 2:00,-1.464666667,
196,0.312,4/5/2015 3:00,-1.748,
197,0.312,4/5/2015 4:00,-1.838,
198,0.312,4/5/2015 5:00,-1.5205,
199,0.312,4/5/2015 6:00,-1.011333333,
200,0.312,4/5/2015 7:00,-0.548,
201,0.312,4/5/2015 8:00,-0.091333333,
202,0.312,4/5/2015 9:00,0.272,
203,0.312,4/5/2015 10:00,0.262,
204,0.312,4/5/2015 11:00,-0.118,
205,0.312,4/5/2015 12:00,-0.661333333,
206,0.312,4/5/2015 13:00,-1.093,
207,0.312,4/5/2015 14:00,-1.511333333,
208,0.312,4/5/2015 15:00,-1.903,
