index,well,date,tide,
1,0.422,3/1/2013 0:00,0.472,
2,0.422,3/1/2013 1:00,0.168666667,
3,0.422,3/1/2013 2:00,-0.353,
4,0.422,3/1/2013 3:00,-0.894666667,
5,0.422,3/1/2013 4:00,-1.333,
6,0.422,3/1/2013 5:00,-1.558,
7,0.422,3/1/2013 6:00,-1.738,
8,0.422,3/1/2013 7:00,-1.568,
9,0.422,3/1/2013 8:00,-1.234666667,
10,0.422,3/1/2013 9:00,-0.713,
11,0.422,3/1/2013 10:00,-0.124666667,
12,0.422,3/1/2013 11:00,0.277,
13,0.422,3/1/2013 12:00,0.402,
14,0.422,3/1/2013 13:00,0.108666667,
15,0.422,3/1/2013 14:00,-0.364666667,
16,0.422,3/1/2013 15:00,-0.824666667,
17,0.422,3/1/2013 16:00,-1.233,
18,0.422,3/1/2013 17:00,-1.638,
19,0.422,3/1/2013 18:00,-1.868,
20,0.422,3/1/2013 19:00,-1.788,
21,0.422,3/1/2013 20:00,-1.508,
22,0.422,3/1/2013 21:00,-1.048,
23,0.422,3/1/2013 22:00,-0.521333333,
24,0.422,3/1/2013 23:00,0.002,
25,0.422,3/2/2013 0:00,0.397,
26,0.422,3/2/2013 1:00,0.447,
27,0.422,3/2/2013 2:00,0.048666667,
28,0.422,3/2/2013 3:00,-0.421333333,
29,0.422,3/2/2013 4:00,-0.888,
30,0.422,3/2/2013 5:00,-1.238,
31,0.422,3/2/2013 6:00,-1.468,
32,0.422,3/2/2013 7:00,-1.548,
33,0.422,3/2/2013 8:00,-1.413,
34,0.422,3/2/2013 9:00,-1.051333333,
35,0.422,3/2/2013 10:00,-0.513,
36,0.422,3/2/2013 11:00,0.025333333,
37,0.422,3/2/2013 12:00,0.427,
38,0.422,3/2/2013 13:00,0.532,
39,0.422,3/2/2013 14:00,0.167,
40,0.422,3/2/2013 15:00,-0.408,
41,0.422,3/2/2013 16:00,-0.873,
42,0.422,3/2/2013 17:00,-1.288,
43,0.422,3/2/2013 18:00,-1.678,
44,0.422,3/2/2013 19:00,-1.778,
45,0.422,3/2/2013 20:00,-1.678,
46,0.422,3/2/2013 21:00,-1.404666667,
47,0.422,3/2/2013 22:00,-0.931333333,
48,0.422,3/2/2013 23:00,-0.3555,
49,0.422,3/3/2013 0:00,0.188666667,
50,0.422,3/3/2013 1:00,0.472,
51,0.422,3/3/2013 2:00,0.417,
52,0.422,3/3/2013 3:00,0.032,
53,0.422,3/3/2013 4:00,-0.461333333,
54,0.422,3/3/2013 5:00,-0.898,
55,0.422,3/3/2013 6:00,-1.263,
56,0.422,3/3/2013 7:00,-1.488,
57,0.422,3/3/2013 8:00,-1.423,
58,0.422,3/3/2013 9:00,-1.173,
59,0.422,3/3/2013 10:00,-0.808,
60,0.422,3/3/2013 11:00,-0.443,
61,0.422,3/3/2013 12:00,-0.103,
62,0.422,3/3/2013 13:00,0.217,
63,0.422,3/3/2013 14:00,0.252,
64,0.422,3/3/2013 15:00,-0.044666667,
65,0.422,3/3/2013 16:00,-0.521333333,
66,0.422,3/3/2013 17:00,-0.958,
67,0.422,3/3/2013 18:00,-1.408,
68,0.422,3/3/2013 19:00,-1.783,
70,0.422,3/3/2013 21:00,-1.783,
71,0.422,3/3/2013 22:00,-1.508,
72,0.422,3/3/2013 23:00,-1.131333333,
73,0.422,3/4/2013 0:00,-0.674666667,
74,0.422,3/4/2013 1:00,-0.308,
75,0.422,3/4/2013 2:00,-0.033,
76,0.422,3/4/2013 3:00,0.047,
77,0.422,3/4/2013 4:00,-0.298,
78,0.422,3/4/2013 5:00,-0.693,
79,0.422,3/4/2013 6:00,-1.033,
80,0.422,3/4/2013 7:00,-1.333,
81,0.422,3/4/2013 8:00,-1.528,
82,0.422,3/4/2013 9:00,-1.498,
83,0.412,3/4/2013 10:00,-1.303,
84,0.412,3/4/2013 11:00,-0.928,
85,0.412,3/4/2013 12:00,-0.494666667,
86,0.412,3/4/2013 13:00,-0.113,
87,0.412,3/4/2013 14:00,0.207,
88,0.412,3/4/2013 15:00,0.162,
89,0.412,3/4/2013 16:00,-0.128,
90,0.412,3/4/2013 17:00,-0.608,
91,0.412,3/4/2013 18:00,-1.028,
92,0.412,3/4/2013 19:00,-1.363,
93,0.402,3/4/2013 20:00,-1.703,
94,0.402,3/4/2013 21:00,-1.838,
95,0.402,3/4/2013 22:00,-1.728,
96,0.402,3/4/2013 23:00,-1.454666667,
97,0.402,3/5/2013 0:00,-1.021333333,
98,0.402,3/5/2013 1:00,-0.544666667,
99,0.402,3/5/2013 2:00,-0.084666667,
100,0.402,3/5/2013 3:00,0.182,
101,0.402,3/5/2013 4:00,0.207,
102,0.402,3/5/2013 5:00,-0.174666667,
103,0.402,3/5/2013 6:00,-0.578,
104,0.402,3/5/2013 7:00,-0.941333333,
105,0.402,3/5/2013 8:00,-1.328,
106,0.402,3/5/2013 9:00,-1.498,
107,0.402,3/5/2013 10:00,-1.398,
108,0.402,3/5/2013 11:00,-1.208,
109,0.402,3/5/2013 12:00,-0.898,
110,0.402,3/5/2013 13:00,-0.541333333,
111,0.402,3/5/2013 14:00,-0.158,
112,0.402,3/5/2013 15:00,0.107,
113,0.402,3/5/2013 16:00,0.192,
114,0.402,3/5/2013 17:00,-0.134666667,
115,0.402,3/5/2013 18:00,-0.523,
116,0.402,3/5/2013 19:00,-0.873,
117,0.402,3/5/2013 20:00,-1.321333333,
118,0.402,3/5/2013 21:00,-1.688,
