index,well,date,tide
1,1.312,2/12/2012 0:00,0.692
2,1.312,2/12/2012 1:00,0.518666667
3,1.312,2/12/2012 2:00,0.065333333
4,1.312,2/12/2012 3:00,-0.408
5,1.312,2/12/2012 4:00,-0.921333333
6,1.312,2/12/2012 5:00,-1.328
7,1.302,2/12/2012 6:00,-1.588
8,1.302,2/12/2012 7:00,-1.668
9,1.302,2/12/2012 8:00,-1.404666667
10,1.302,2/12/2012 9:00,-0.948
11,1.292,2/12/2012 10:00,-0.464666667
12,1.292,2/12/2012 11:00,0.058666667
13,1.292,2/12/2012 12:00,0.412
14,1.292,2/12/2012 13:00,0.392
15,1.292,2/12/2012 14:00,0.052
16,1.292,2/12/2012 15:00,-0.428
17,1.282,2/12/2012 16:00,-0.944666667
18,1.282,2/12/2012 17:00,-1.368
19,1.282,2/12/2012 18:00,-1.713
20,1.282,2/12/2012 19:00,-1.888
21,1.282,2/12/2012 20:00,-1.728
22,1.272,2/12/2012 21:00,-1.283
23,1.272,2/12/2012 22:00,-0.681333333
24,1.272,2/12/2012 23:00,-0.174666667
25,1.272,2/13/2012 0:00,0.275333333
26,1.262,2/13/2012 1:00,0.562
27,1.262,2/13/2012 2:00,0.405333333
28,1.262,2/13/2012 3:00,-0.021333333
29,1.252,2/13/2012 4:00,-0.423
30,1.252,2/13/2012 5:00,-0.848
31,1.242,2/13/2012 6:00,-1.293
32,1.232,2/13/2012 7:00,-1.498
33,1.232,2/13/2012 8:00,-1.408
34,1.222,2/13/2012 9:00,-1.081333333
35,1.222,2/13/2012 10:00,-0.591333333
36,1.212,2/13/2012 11:00,-0.091333333
37,1.212,2/13/2012 12:00,0.405333333
38,1.202,2/13/2012 13:00,0.692
39,1.192,2/13/2012 14:00,0.572
40,1.192,2/13/2012 15:00,0.182
41,1.182,2/13/2012 16:00,-0.364666667
42,1.172,2/13/2012 17:00,-0.778
43,1.172,2/13/2012 18:00,-1.234666667
44,1.162,2/13/2012 19:00,-1.623
45,1.162,2/13/2012 20:00,-1.728
46,1.152,2/13/2012 21:00,-1.538
47,1.152,2/13/2012 22:00,-1.154666667
48,1.152,2/13/2012 23:00,-0.6005
49,1.152,2/14/2012 0:00,0.0195
50,1.142,2/14/2012 1:00,0.472
51,1.142,2/14/2012 2:00,0.662
52,1.142,2/14/2012 3:00,0.577
53,1.132,2/14/2012 4:00,0.157
54,1.132,2/14/2012 5:00,-0.273
55,1.132,2/14/2012 6:00,-0.681333333
56,1.132,2/14/2012 7:00,-1.008
57,1.132,2/14/2012 8:00,-1.238
58,1.122,2/14/2012 9:00,-1.103
59,1.122,2/14/2012 10:00,-0.721333333
60,1.122,2/14/2012 11:00,-0.268
61,1.122,2/14/2012 12:00,0.178666667
62,1.112,2/14/2012 13:00,0.557
63,1.112,2/14/2012 14:00,0.732
64,1.112,2/14/2012 15:00,0.557
65,1.112,2/14/2012 16:00,0.202
66,1.102,2/14/2012 17:00,-0.251333333
67,1.102,2/14/2012 18:00,-0.683
68,1.092,2/14/2012 19:00,-1.078
69,1.092,2/14/2012 20:00,-1.448
70,1.092,2/14/2012 21:00,-1.658
71,1.092,2/14/2012 22:00,-1.478
72,1.092,2/14/2012 23:00,-1.101333333
73,1.082,2/15/2012 0:00,-0.618
74,1.082,2/15/2012 1:00,-0.083
75,1.082,2/15/2012 2:00,0.362
76,1.082,2/15/2012 3:00,0.522
77,1.082,2/15/2012 4:00,0.347
78,1.082,2/15/2012 5:00,-0.011333333
79,1.082,2/15/2012 6:00,-0.454666667
80,1.072,2/15/2012 7:00,-0.924666667
81,1.072,2/15/2012 8:00,-1.298
82,1.072,2/15/2012 9:00,-1.518
83,1.062,2/15/2012 10:00,-1.458
84,1.062,2/15/2012 11:00,-1.223
85,1.052,2/15/2012 12:00,-0.858
86,1.052,2/15/2012 13:00,-0.388
87,1.042,2/15/2012 14:00,0.022
88,1.042,2/15/2012 15:00,0.192
89,1.042,2/15/2012 16:00,0.072
90,1.032,2/15/2012 17:00,-0.183
91,1.032,2/15/2012 18:00,-0.584666667
92,1.032,2/15/2012 19:00,-1.061333333
93,1.022,2/15/2012 20:00,-1.448
94,1.022,2/15/2012 21:00,-1.753
95,1.022,2/15/2012 22:00,-1.918
96,1.022,2/15/2012 23:00,-1.763
97,1.012,2/16/2012 0:00,-1.374666667
98,1.012,2/16/2012 1:00,-0.914666667
99,1.012,2/16/2012 2:00,-0.468
100,1.012,2/16/2012 3:00,-0.018
101,1.002,2/16/2012 4:00,0.272
102,1.002,2/16/2012 5:00,0.252
103,0.992,2/16/2012 6:00,-0.048
104,0.992,2/16/2012 7:00,-0.488
105,0.992,2/16/2012 8:00,-0.893
106,0.982,2/16/2012 9:00,-1.238
107,0.972,2/16/2012 10:00,-1.508
108,0.962,2/16/2012 11:00,-1.528
109,0.962,2/16/2012 12:00,-1.271333333
110,0.962,2/16/2012 13:00,-0.878
111,0.952,2/16/2012 14:00,-0.491333333
112,0.942,2/16/2012 15:00,-0.138
113,0.922,2/16/2012 16:00,0.092
114,0.922,2/16/2012 17:00,0.112
115,0.912,2/16/2012 18:00,-0.174666667
116,0.912,2/16/2012 19:00,-0.563
117,0.912,2/16/2012 20:00,-1.001333333
118,0.912,2/16/2012 21:00,-1.464666667
119,0.902,2/16/2012 22:00,-1.808
120,0.902,2/16/2012 23:00,-1.938
121,0.902,2/17/2012 0:00,-1.928
122,0.902,2/17/2012 1:00,-1.588
123,0.902,2/17/2012 2:00,-1.141333333
124,0.902,2/17/2012 3:00,-0.603
125,0.892,2/17/2012 4:00,-0.163
126,0.892,2/17/2012 5:00,0.112
127,0.882,2/17/2012 6:00,0.132
128,0.882,2/17/2012 7:00,-0.158
129,0.882,2/17/2012 8:00,-0.583
130,0.882,2/17/2012 9:00,-0.974666667
131,0.872,2/17/2012 10:00,-1.383
132,0.872,2/17/2012 11:00,-1.588
133,0.872,2/17/2012 12:00,-1.588
134,0.862,2/17/2012 13:00,-1.393
135,0.862,2/17/2012 14:00,-1.031333333
136,0.852,2/17/2012 15:00,-0.564666667
137,0.852,2/17/2012 16:00,-0.108
138,0.852,2/17/2012 17:00,0.172
139,0.852,2/17/2012 18:00,0.192
140,0.842,2/17/2012 19:00,-0.078
141,0.842,2/17/2012 20:00,-0.524666667
142,0.842,2/17/2012 21:00,-0.933
143,0.842,2/17/2012 22:00,-1.361333333
144,0.842,2/17/2012 23:00,-1.763
145,0.842,2/18/2012 0:00,-1.958
146,0.842,2/18/2012 1:00,-1.918
147,0.842,2/18/2012 2:00,-1.558
148,0.842,2/18/2012 3:00,-1.084666667
149,0.842,2/18/2012 4:00,-0.608
150,0.842,2/18/2012 5:00,-0.083
151,0.832,2/18/2012 6:00,0.292
152,0.832,2/18/2012 7:00,0.292
153,0.832,2/18/2012 8:00,-0.031333333
154,0.832,2/18/2012 9:00,-0.478
155,0.822,2/18/2012 10:00,-0.938
156,0.822,2/18/2012 11:00,-1.303
157,0.822,2/18/2012 12:00,-1.563
159,0.812,2/18/2012 14:00,-1.448
