index,well,date,tide,hw
1,0.568,1/11/2018 0:00,-1.384666667,-0.468666667
2,0.578,1/11/2018 1:00,-1.009894737,-0.413666667
3,0.568,1/11/2018 2:00,-0.569,-0.279
4,0.568,1/11/2018 3:00,-0.139058824,-0.092
5,0.568,1/11/2018 4:00,0.155,0.05675
6,0.568,1/11/2018 5:00,0.240857143,0.164666667
7,0.568,1/11/2018 6:00,0.022285714,0.242
8,0.558,1/11/2018 7:00,-0.386117647,0.2955
9,0.558,1/11/2018 8:00,-0.796210526,0.334666667
10,0.558,1/11/2018 9:00,-1.179368421,0.295142857
11,0.558,1/11/2018 10:00,-1.378296296,0.048526316
12,0.548,1/11/2018 11:00,-1.706074074,0.205777778
13,0.548,1/11/2018 12:00,-1.5795,0.284
14,0.548,1/11/2018 13:00,-1.211444444,0.343
15,0.548,1/11/2018 14:00,-0.796210526,0.3855
16,0.548,1/11/2018 15:00,-0.404352941,0.414666667
17,0.548,1/11/2018 16:00,-0.098923077,0.434666667
18,0.548,1/11/2018 17:00,0.013,0.448
19,0.538,1/11/2018 18:00,-0.135125,0.368
20,0.538,1/11/2018 19:00,-0.452625,0.1955
21,0.538,1/11/2018 20:00,-0.813176471,0.032
22,0.538,1/11/2018 21:00,-1.303612903,0.168588235
23,0.538,1/11/2018 22:00,-1.730125,0.292285714
24,0.538,1/11/2018 23:00,-1.999,0.368
25,0.538,1/12/2018 0:00,-1.975333333,0.404666667
26,0.538,1/12/2018 1:00,-1.670947368,0.433
27,0.528,1/12/2018 2:00,-1.104307692,0.324363636
28,0.528,1/12/2018 3:00,-0.683304348,0.153
29,0.528,1/12/2018 4:00,-0.230823529,0.154666667
30,0.528,1/12/2018 5:00,0.07675,0.243714286
31,0.528,1/12/2018 6:00,0.113,0.338
32,0.528,1/12/2018 7:00,-0.142625,0.398
33,0.528,1/12/2018 8:00,-0.50575,0.431333333
34,0.528,1/12/2018 9:00,-0.867789474,0.38175
35,0.528,1/12/2018 10:00,-1.066736842,0.113833333
36,0.528,1/12/2018 11:00,-1.577151515,0.145894737
37,0.518,1/12/2018 12:00,-1.697,0.316
38,0.518,1/12/2018 13:00,-1.505846154,0.386
39,0.518,1/12/2018 14:00,-1.11247619,0.39925
40,0.518,1/12/2018 15:00,-0.682909091,0.203714286
41,0.518,1/12/2018 16:00,-0.326285714,0.148
42,0.508,1/12/2018 17:00,-0.089,0.171333333
43,0.518,1/12/2018 18:00,-0.068428571,0.158
44,0.508,1/12/2018 19:00,-0.272,0.104
45,0.508,1/12/2018 20:00,-0.623666667,0.0005
46,0.508,1/12/2018 21:00,-1.099419355,0.128
47,0.508,1/12/2018 22:00,-1.576210526,0.252
48,0.498,1/12/2018 23:00,-1.96575,0.3055
49,0.498,1/13/2018 0:00,-2.23,0.348
50,0.508,1/13/2018 1:00,-2.157384615,0.381333333
51,0.498,1/13/2018 2:00,-1.804105263,0.401333333
52,0.498,1/13/2018 3:00,-1.328086957,0.418
53,0.498,1/13/2018 4:00,-0.824105263,0.433
54,0.488,1/13/2018 5:00,-0.362,0.413
55,0.488,1/13/2018 6:00,-0.104352941,0.306333333
56,0.498,1/13/2018 7:00,-0.087555556,0.254
57,0.488,1/13/2018 8:00,-0.319142857,0.1505
58,0.488,1/13/2018 9:00,-0.668666667,0.018
59,0.488,1/13/2018 10:00,-1.155703704,0.128588235
60,0.488,1/13/2018 11:00,-1.539647059,0.278
61,0.488,1/13/2018 12:00,-1.837,0.354
62,0.488,1/13/2018 13:00,-1.912,0.408
63,0.478,1/13/2018 14:00,-1.690125,0.441333333
64,0.478,1/13/2018 15:00,-1.178666667,0.3005
65,0.478,1/13/2018 16:00,-0.828315789,0.096333333
66,0.478,1/13/2018 17:00,-0.421473684,0.068
67,0.478,1/13/2018 18:00,-0.181090909,0.098
68,0.478,1/13/2018 19:00,-0.172,0.094666667
69,0.468,1/13/2018 20:00,-0.453176471,0.028
70,0.468,1/13/2018 21:00,-0.945448276,0.112705882
71,0.468,1/13/2018 22:00,-1.447,0.258
72,0.468,1/13/2018 23:00,-1.900823529,0.336
73,0.468,1/14/2018 0:00,-2.262,0.384666667
74,0.468,1/14/2018 1:00,-2.478666667,0.418
75,0.468,1/14/2018 2:00,-2.305333333,0.444666667
76,0.468,1/14/2018 3:00,-1.770965517,0.198
77,0.468,1/14/2018 4:00,-1.45337931,0.152285714
78,0.458,1/14/2018 5:00,-0.987238095,0.33
79,0.458,1/14/2018 6:00,-0.485684211,0.3905
80,0.458,1/14/2018 7:00,-0.189857143,0.424666667
81,0.448,1/14/2018 8:00,-0.205333333,0.448
82,0.448,1/14/2018 9:00,-0.437263158,0.293454545
83,0.448,1/14/2018 10:00,-0.822555556,0.07
84,0.448,1/14/2018 11:00,-1.3448125,0.138
85,0.448,1/14/2018 12:00,-1.711333333,0.279666667
86,0.448,1/14/2018 13:00,-1.973,0.343
87,0.448,1/14/2018 14:00,-1.993428571,0.374666667
88,0.448,1/14/2018 15:00,-1.735125,0.391333333
89,0.438,1/14/2018 16:00,-1.309142857,0.408
90,0.448,1/14/2018 17:00,-0.873666667,0.424666667
91,0.438,1/14/2018 18:00,-0.433851852,0.444666667
92,0.438,1/14/2018 19:00,-0.146375,0.412
93,0.438,1/14/2018 20:00,-0.182588235,0.275
94,0.438,1/14/2018 21:00,-0.536705882,0.119111111
95,0.428,1/14/2018 22:00,-1.06237037,0.080941176
96,0.438,1/14/2018 23:00,-1.442952381,0.226181818
97,0.438,1/15/2018 0:00,-1.890421053,0.3305
98,0.438,1/15/2018 1:00,-2.242714286,0.383
99,0.438,1/15/2018 2:00,-2.342,0.4205
100,0.428,1/15/2018 3:00,-2.082555556,0.443
101,0.428,1/15/2018 4:00,-1.551259259,0.37425
102,0.428,1/15/2018 5:00,-1.007,0.128
103,0.428,1/15/2018 6:00,-0.482454545,0.0705
104,0.428,1/15/2018 7:00,-0.079857143,0.136333333
105,0.418,1/15/2018 8:00,0.133714286,0.250857143
106,0.418,1/15/2018 9:00,0.025692308,0.346
107,0.418,1/15/2018 10:00,-0.327555556,0.4005
108,0.418,1/15/2018 11:00,-0.7645,0.438
109,0.428,1/15/2018 12:00,-1.067833333,0.224428571
110,0.418,1/15/2018 13:00,-1.577384615,0.119
111,0.418,1/15/2018 14:00,-1.807652174,0.27175
112,0.418,1/15/2018 15:00,-1.752909091,0.368
113,0.418,1/15/2018 16:00,-1.357652174,0.406
114,0.408,1/15/2018 17:00,-0.855333333,0.4405
115,0.408,1/15/2018 18:00,-0.285461538,0.363714286
116,0.408,1/15/2018 19:00,0.116571429,0.34
117,0.408,1/15/2018 20:00,0.302705882,0.403833333
118,0.408,1/15/2018 21:00,0.143333333,0.444666667
119,0.408,1/15/2018 22:00,-0.184,0.318
120,0.398,1/15/2018 23:00,-0.635157895,0.107
121,0.398,1/16/2018 0:00,-1.192322581,0.115222222
122,0.398,1/16/2018 1:00,-1.628666667,0.283
123,0.398,1/16/2018 2:00,-1.909777778,0.3555
124,0.398,1/16/2018 3:00,-1.870888889,0.403
125,0.398,1/16/2018 4:00,-1.554,0.434666667
126,0.398,1/16/2018 5:00,-0.96716129,0.296333333
127,0.408,1/16/2018 6:00,-0.429727273,0.148
128,0.398,1/16/2018 7:00,0.0545,0.24175
129,0.388,1/16/2018 8:00,0.428833333,0.35
130,0.398,1/16/2018 9:00,0.493454545,0.403
131,0.388,1/16/2018 10:00,0.169,0.438
132,0.398,1/16/2018 11:00,-0.271545455,0.372444444
133,0.388,1/16/2018 12:00,-0.647652174,0.144363636
134,0.388,1/16/2018 13:00,-1.265793103,0.097444444
135,0.398,1/16/2018 14:00,-1.565181818,0.26
136,0.388,1/16/2018 15:00,-1.747714286,0.363
137,0.388,1/16/2018 16:00,-1.512,0.4105
138,0.388,1/16/2018 17:00,-1.086285714,0.441333333
139,0.388,1/16/2018 18:00,-0.546074074,0.315
140,0.388,1/16/2018 19:00,-0.089368421,0.238
141,0.388,1/16/2018 20:00,0.218,0.32925
142,0.388,1/16/2018 21:00,0.25675,0.398
143,0.378,1/16/2018 22:00,-0.020235294,0.438
144,0.388,1/16/2018 23:00,-0.382833333,0.297090909
145,0.388,1/17/2018 0:00,-0.8475,0.072545455
146,0.378,1/17/2018 1:00,-1.432857143,0.153
147,0.388,1/17/2018 2:00,-1.826666667,0.309666667
148,0.378,1/17/2018 3:00,-2.0245,0.384
149,0.378,1/17/2018 4:00,-1.827,0.428
150,0.378,1/17/2018 5:00,-1.325703704,0.3755
151,0.378,1/17/2018 6:00,-0.7988,0.166333333
152,0.378,1/17/2018 7:00,-0.266347826,0.142
153,0.378,1/17/2018 8:00,0.1935,0.25925
154,0.378,1/17/2018 9:00,0.466461538,0.362
155,0.368,1/17/2018 10:00,0.4075,0.413
156,0.378,1/17/2018 11:00,0.017090909,0.416333333
157,0.368,1/17/2018 12:00,-0.385181818,0.236
158,0.378,1/17/2018 13:00,-0.839777778,0.043
159,0.368,1/17/2018 14:00,-1.344333333,0.157444444
160,0.368,1/17/2018 15:00,-1.662909091,0.292285714
161,0.368,1/17/2018 16:00,-1.666545455,0.368
162,0.368,1/17/2018 17:00,-1.279826087,0.394666667
163,0.368,1/17/2018 18:00,-0.773,0.413
164,0.368,1/17/2018 19:00,-0.263304348,0.421333333
165,0.368,1/17/2018 20:00,0.185647059,0.441333333
166,0.368,1/17/2018 21:00,0.410857143,0.464666667
167,0.368,1/17/2018 22:00,0.267230769,0.418
168,0.368,1/17/2018 23:00,-0.124,0.28425
169,0.368,1/18/2018 0:00,-0.597714286,0.114
170,0.358,1/18/2018 1:00,-1.202625,0.115
171,0.368,1/18/2018 2:00,-1.672,0.273714286
172,0.368,1/18/2018 3:00,-2.012,0.3555
173,0.358,1/18/2018 4:00,-2.11075,0.396
174,0.358,1/18/2018 5:00,-1.827555556,0.431333333
175,0.358,1/18/2018 6:00,-1.270928571,0.37675
176,0.358,1/18/2018 7:00,-0.719692308,0.174666667
177,0.358,1/18/2018 8:00,-0.175913043,0.188
178,0.358,1/18/2018 9:00,0.26675,0.293
179,0.348,1/18/2018 10:00,0.4855,0.37
180,0.358,1/18/2018 11:00,0.276823529,0.418
181,0.348,1/18/2018 12:00,-0.151473684,0.448
182,0.358,1/18/2018 13:00,-0.549916667,0.294363636
183,0.358,1/18/2018 14:00,-0.975333333,0.052545455
184,0.358,1/18/2018 15:00,-1.469941176,0.1685
