index,well,date,tide,hw,swp,pvp,ni,NSP,IBP,CP,s27t,MiamiBeach
251,0.418,3/22/2020 10:00,-0.382869565,0.416333333,-0.1,-0.31,0.21,0.21,0.11,0.27,-0.360869565,-0.302
252,0.428,3/22/2020 11:00,-0.844173913,0.413,-0.25,-0.41,-0.1,-0.04,-0.12,0.13,-0.822173913,-0.488
253,0.428,3/22/2020 12:00,-1.285043478,0.412285714,-0.53,-0.57,-0.5,-0.32,-0.36,0,-1.263043478,-0.636
254,0.418,3/22/2020 13:00,-1.666761905,0.4055,-0.79,-0.75,-0.92,-0.57,-0.59,-0.14,-1.644761905,-0.71
255,0.398,3/22/2020 14:00,-1.920333333,0.400857143,-1.06,-0.92,-1.3,-0.75,-0.78,-0.21,-1.898333333,-0.69
256,0.368,3/22/2020 15:00,-1.8005,0.41175,-1.25,-1.04,-1.64,-0.78,-0.83,-0.2,-1.7785,-0.582
257,0.358,3/22/2020 16:00,-1.40373913,0.414666667,-1.3,-1.06,-1.7,-0.66,-0.77,-0.11,-1.38173913,-0.413
258,0.348,3/22/2020 17:00,-0.896074074,0.420222222,-1.13,-0.96,-1.43,-0.43,-0.53,0.03,-0.874074074,-0.228
259,0.358,3/22/2020 18:00,-0.372384615,0.429428571,-0.85,-0.78,-0.98,-0.1,-0.29,0.18,-0.350384615,-0.073
260,0.378,3/22/2020 19:00,0.070380952,0.436333333,-0.56,-0.58,-0.5,0.18,-0.01,0.31,0.092380952,0.011
261,0.398,3/22/2020 20:00,0.3205,0.431333333,-0.26,-0.39,-0.03,0.36,0.19,0.39,0.3425,0.001
262,0.408,3/22/2020 21:00,0.171888889,0.436333333,-0.07,-0.27,0.3,0.41,0.28,0.39,0.193888889,-0.101
263,0.408,3/22/2020 22:00,-0.2084,0.438,-0.01,-0.23,0.32,0.31,0.22,0.32,-0.1864,-0.269
264,0.418,3/22/2020 23:00,-0.656347826,0.436333333,-0.16,-0.32,0.04,0.08,-0.01,0.21,-0.634347826,-0.461
265,0.398,3/23/2020 0:00,-1.109083333,0.438,-0.41,-0.48,-0.34,-0.17,-0.23,0.08,-1.087083333,-0.627
266,0.398,3/23/2020 1:00,-1.521130435,0.438,-0.66,-0.66,-0.76,-0.46,-0.51,-0.07,-1.499130435,-0.726
267,0.388,3/23/2020 2:00,-1.842666667,0.436333333,-0.95,-0.85,-1.18,-0.69,-0.73,-0.16,-1.820666667,-0.73
268,0.368,3/23/2020 3:00,-1.890461538,0.438,-1.16,-0.98,-1.51,-0.78,-0.84,-0.2,-1.868461538,-0.64
269,0.358,3/23/2020 4:00,-1.591047619,0.445142857,-1.29,-1.04,-1.7,-0.69,-0.8,-0.14,-1.569047619,-0.476
270,0.338,3/23/2020 5:00,-1.105214286,0.448,-1.2,-0.99,-1.56,-0.48,-0.6,-0.01,-1.083214286,-0.28
271,0.348,3/23/2020 6:00,-0.546230769,0.448,-0.95,-0.83,-1.16,-0.17,-0.36,0.15,-0.524230769,-0.103
272,0.378,3/23/2020 7:00,-0.082,0.403,-0.65,-0.63,-0.7,0.09,-0.08,0.29,-0.06,0.012
273,0.388,3/23/2020 8:00,0.223,0.4305,-0.34,-0.43,-0.18,0.33,0.15,0.38,0.245,0.034
274,0.408,3/23/2020 9:00,0.245647059,0.44175,-0.1,-0.29,0.2,0.39,0.25,0.41,0.267647059,-0.042
275,0.428,3/23/2020 10:00,-0.127833333,0.436333333,0.01,-0.22,0.35,0.35,0.23,0.36,-0.105833333,-0.197
276,0.448,3/23/2020 11:00,-0.582434783,0.438,-0.13,-0.3,0.15,0.12,0.03,0.23,-0.560434783,-0.391
277,0.418,3/23/2020 12:00,-1.069307692,0.435142857,-0.35,-0.43,-0.25,-0.17,-0.23,0.09,-1.047307692,-0.575
278,0.408,3/23/2020 13:00,-1.509826087,0.433,-0.63,-0.63,-0.7,-0.46,-0.5,-0.08,-1.487826087,-0.701
279,0.378,3/23/2020 14:00,-1.875888889,0.420857143,-0.92,-0.83,-1.12,-0.73,-0.75,-0.19,-1.853888889,-0.738
280,0.348,3/23/2020 15:00,-2.059142857,0.421333333,-1.19,-0.99,-1.51,-0.87,-0.89,-0.23,-2.037142857,-0.675
281,0.348,3/23/2020 16:00,-1.814857143,0.426333333,-1.36,-1.09,-1.8,-0.82,-0.89,-0.19,-1.792857143,-0.529
282,0.318,3/23/2020 17:00,-1.401583333,0.4305,-1.34,-1.08,-1.76,-0.66,-0.76,-0.09,-1.379583333,-0.337
283,0.328,3/23/2020 18:00,-0.850928571,0.438,-1.12,-0.95,-1.38,-0.37,-0.5,0.06,-0.828928571,-0.148
284,0.348,3/23/2020 19:00,-0.312740741,0.44175,-0.82,-0.74,-0.94,-0.04,-0.2,0.21,-0.290740741,-0.01
285,0.348,3/23/2020 20:00,0.139875,0.446333333,-0.52,-0.54,-0.42,0.21,0.03,0.33,0.161875,0.041
286,0.358,3/23/2020 21:00,0.276,0.448,-0.24,-0.37,0.02,0.37,0.18,0.38,0.298,-0.008
287,0.368,3/23/2020 22:00,-0.015181818,0.448,-0.05,-0.26,0.31,0.34,0.2,0.36,0.006818182,-0.145
288,0.358,3/23/2020 23:00,-0.457416667,0.448,-0.09,-0.28,0.2,0.21,0.09,0.26,-0.435416667,-0.335
289,0.358,3/24/2020 0:00,-0.9336,0.448,-0.28,-0.41,-0.15,-0.08,-0.16,0.13,-0.9116,-0.528
290,0.338,3/24/2020 1:00,-1.386347826,0.449666667,-0.56,-0.59,-0.58,-0.39,-0.42,-0.04,-1.364347826,-0.675
291,0.318,3/24/2020 2:00,-1.765157895,0.448,-0.84,-0.78,-1.01,-0.65,-0.68,-0.16,-1.743157895,-0.739
292,0.288,3/24/2020 3:00,-1.972,0.448,-1.11,-0.95,-1.39,-0.82,-0.84,-0.2,-1.95,-0.703
293,0.278,3/24/2020 4:00,-1.78152381,0.448,-1.28,-1.05,-1.68,-0.78,-0.85,-0.16,-1.75952381,-0.576
294,0.258,3/24/2020 5:00,-1.35,0.448,-1.29,-1.05,-1.7,-0.62,-0.74,-0.08,-1.328,-0.39
295,0.278,3/24/2020 6:00,-0.818071429,0.449428571,-1.1,-0.95,-1.36,-0.38,-0.5,0.08,-0.796071429,-0.194
296,0.288,3/24/2020 7:00,-0.2741875,0.363,-0.81,-0.75,-0.92,-0.04,-0.22,0.23,-0.2521875,-0.037
297,0.308,3/24/2020 8:00,0.120857143,0.363,-0.49,-0.53,-0.41,0.26,0.08,0.35,0.142857143,0.039
298,0.318,3/24/2020 9:00,0.386333333,0.407090909,-0.19,-0.35,0.06,0.41,0.25,0.42,0.408333333,0.015
299,0.328,3/24/2020 10:00,0.190173913,0.409666667,0.01,-0.22,0.39,0.42,0.3,0.41,0.212173913,-0.104
300,0.328,3/24/2020 11:00,-0.192,0.424666667,0.03,-0.21,0.39,0.32,0.21,0.33,-0.17,-0.287
301,0.318,3/24/2020 12:00,-0.701166667,0.419666667,-0.13,-0.31,0.08,0.07,-0.01,0.19,-0.679166667,-0.488
302,0.288,3/24/2020 13:00,-1.172416667,0.42175,-0.39,-0.48,-0.34,-0.26,-0.3,0.05,-1.150416667,-0.656
303,0.258,3/24/2020 14:00,-1.601090909,0.419666667,-0.7,-0.68,-0.8,-0.53,-0.56,-0.09,-1.579090909,-0.747
304,0.238,3/24/2020 15:00,-1.903428571,0.418,-0.97,-0.87,-1.21,-0.75,-0.77,-0.17,-1.881428571,-0.738
305,0.218,3/24/2020 16:00,-1.860823529,0.423,-1.19,-0.98,-1.56,-0.76,-0.83,-0.18,-1.838823529,-0.631
306,0.198,3/24/2020 17:00,-1.487416667,0.428,-1.28,-1.03,-1.74,-0.65,-0.74,-0.11,-1.465416667,-0.454
307,0.198,3/24/2020 18:00,-0.9808,0.430857143,-1.16,-0.97,-1.48,-0.43,-0.58,0.02,-0.9588,-0.25
308,0.218,3/24/2020 19:00,-0.416827586,0.436333333,-0.89,-0.78,-1.04,-0.14,-0.3,0.18,-0.394827586,-0.071
309,0.218,3/24/2020 20:00,0.088,0.444666667,-0.58,-0.58,-0.54,0.15,-0.02,0.32,0.11,0.036
310,0.218,3/24/2020 21:00,0.3705,0.448,-0.26,-0.38,-0.05,0.36,0.25,0.39,0.3925,0.046
311,0.218,3/24/2020 22:00,0.273555556,0.453,-0.01,-0.23,0.34,0.45,0.32,0.43,0.295555556,-0.044
312,0.208,3/24/2020 23:00,-0.104692308,0.414923077,0.06,-0.18,0.44,0.39,0.26,0.36,-0.082692308,-0.209
