,index,SWP,PVP,NI,NSP,LG,FP,IBP,MBHS,CP,FLP,tide,MiamiBeach,s27t
8/19/2020 0:00,255,0.55,0.34,0.79,0.74,0.63,0.76,0.55,0.06,0.68,-0.74,-0.161,-1.683070866,0.096153845
8/19/2020 1:00,256,0.24,0.12,0.3,0.35,0.37,0.53,0.28,-0.22,0.51,-1.12,-0.663,-2.18503937,-0.276206896
8/19/2020 2:00,257,-0.07,-0.1,-0.22,0.04,0.11,0.21,-0.03,-0.47,0.4,-1.37,-0.991,-2.342519685,-0.616666667
8/19/2020 3:00,258,-0.36,-0.27,-0.65,-0.09,-0.13,-0.05,-0.17,-0.53,0.37,-1.38,-1.004,-2.109580052,-0.78
8/19/2020 4:00,259,-0.55,-0.36,-0.94,-0.01,-0.26,-0.22,-0.16,-0.42,0.43,-1.18,-0.715,-1.55183727,-0.621578947
8/19/2020 5:00,260,-0.48,-0.32,-0.82,0.21,-0.19,-0.16,0.04,-0.18,0.56,-0.83,-0.151,-0.807086614,-0.140196079
8/19/2020 6:00,261,-0.21,-0.16,-0.36,0.53,0.03,0.09,0.29,0.11,0.74,-0.48,0.348,-0.072178478,0.354
8/19/2020 7:00,262,0.14,0.08,0.17,0.9,0.31,0.37,0.65,0.36,0.91,-0.23,0.784,0.462598425,1.031379311
8/19/2020 8:00,263,0.49,0.31,0.72,1.19,0.63,0.73,0.9,0.56,1.03,0.02,1.289,0.656167979,1.5028
8/19/2020 9:00,264,0.81,0.51,1.22,1.35,0.87,1,1.09,0.68,1.08,0.09,1.411,0.446194226,1.626875
8/19/2020 10:00,265,0.95,0.63,1.49,1.34,1.03,1.18,1.11,0.63,1.04,-0.02,1.093,-0.118110236,1.2832
8/19/2020 11:00,266,0.9,0.58,1.34,1.14,0.95,1.13,0.94,0.4,0.93,-0.3,0.469,-0.902230971,0.735185184
8/19/2020 12:00,267,0.64,0.43,0.93,0.83,0.74,0.92,0.66,0.15,0.76,-0.67,-0.157,-1.715879265,0.164545456
8/19/2020 13:00,268,0.36,0.24,0.45,0.44,0.48,0.67,0.33,-0.18,0.57,-1.1,-0.745,-2.352362205,-0.222777779
8/19/2020 14:00,269,0,0.02,-0.12,0.1,0.19,0.31,0.01,-0.48,0.42,-1.45,-1.073,-2.654199475,-0.623666667
8/19/2020 15:00,270,-0.33,-0.21,-0.61,-0.13,-0.09,-0.01,-0.22,-0.65,0.32,-1.59,-1.348,-2.542650919,-0.876315791
8/19/2020 16:00,271,-0.6,-0.36,-1.02,-0.22,-0.29,-0.25,-0.3,-0.63,0.35,-1.51,-1.247,-2.040682415,-0.988181818
8/19/2020 17:00,272,-0.69,-0.42,-1.21,-0.03,-0.36,-0.35,-0.19,-0.45,0.45,-1.19,-0.817,-1.269685039,-0.7225
8/19/2020 18:00,273,-0.56,-0.31,-0.92,0.33,-0.21,-0.2,0.08,-0.14,0.64,-0.76,-0.154,-0.419947507,-0.122807018
8/19/2020 19:00,274,-0.19,-0.09,-0.4,0.74,0.07,0.12,0.45,0.16,0.81,-0.39,0.417,0.29855643,0.493387096
8/19/2020 20:00,275,0.2,0.16,0.26,1.07,0.39,0.46,0.74,0.43,0.99,-0.13,0.938,0.715223097,1.198518517
8/19/2020 21:00,276,0.59,0.42,0.86,1.36,0.73,0.84,1.05,0.62,1.08,0.06,1.365,0.721784777,1.61375
8/19/2020 22:00,277,0.89,0.59,1.35,1.46,0.96,1.12,1.17,0.69,1.11,0.09,1.362,0.32480315,1.564210525
8/19/2020 23:00,278,1.02,0.69,1.57,1.39,1.06,1.23,1.13,0.56,1.04,-0.12,0.843,-0.370734908,1.0925
