index,well,date,tide,hw
1,0.798,1/6/2008 0:00,-1.3345,1.348
2,0.798,1/6/2008 1:00,-1.549368421,1.348
3,0.798,1/6/2008 2:00,-1.559777778,1.348
4,0.798,1/6/2008 3:00,-1.239368421,1.348
5,0.798,1/6/2008 4:00,-0.829222222,1.348
6,0.798,1/6/2008 5:00,-0.459647059,1.348
7,0.798,1/6/2008 6:00,-0.039647059,1.348
8,0.798,1/6/2008 7:00,0.203294118,1.348
9,0.798,1/6/2008 8:00,0.213263158,1.348
10,0.798,1/6/2008 9:00,-0.098842105,1.345368421
11,0.798,1/6/2008 10:00,-0.494105263,1.335368421
12,0.798,1/6/2008 11:00,-0.819,1.329
13,0.798,1/6/2008 12:00,-1.149,1.3265
14,0.798,1/6/2008 13:00,-1.3915,1.3215
15,0.798,1/6/2008 14:00,-1.454,1.321
16,0.798,1/6/2008 15:00,-1.229,1.328
17,0.798,1/6/2008 16:00,-0.828,1.3365
18,0.798,1/6/2008 17:00,-0.497,1.338
19,0.798,1/6/2008 18:00,-0.164105263,1.338
20,0.798,1/6/2008 19:00,0.0805,1.3475
21,0.808,1/6/2008 20:00,0.104842105,1.348
22,0.808,1/6/2008 21:00,-0.2045,1.3445
23,0.808,1/6/2008 22:00,-0.585684211,1.339052632
24,0.808,1/6/2008 23:00,-0.9405,1.338
25,0.808,1/7/2008 0:00,-1.312588235,1.338
26,0.808,1/7/2008 1:00,-1.6015,1.338
27,0.808,1/7/2008 2:00,-1.7445,1.338
28,0.808,1/7/2008 3:00,-1.603,1.338
29,0.808,1/7/2008 4:00,-1.16,1.338
30,0.808,1/7/2008 5:00,-0.724777778,1.338
31,0.808,1/7/2008 6:00,-0.2985,1.338
32,0.808,1/7/2008 7:00,0.078,1.338
33,0.808,1/7/2008 8:00,0.293,1.338
34,0.808,1/7/2008 9:00,0.221333333,1.329666667
35,0.808,1/7/2008 10:00,-0.1585,1.32
36,0.808,1/7/2008 11:00,-0.5165,1.3145
37,0.818,1/7/2008 12:00,-0.8495,1.313
38,0.818,1/7/2008 13:00,-1.19,1.3015
39,0.818,1/7/2008 14:00,-1.4075,1.2935
40,0.818,1/7/2008 15:00,-1.397263158,1.296421053
41,0.818,1/7/2008 16:00,-1.058,1.2975
42,0.818,1/7/2008 17:00,-0.69,1.3075
43,0.818,1/7/2008 18:00,-0.322526316,1.318
44,0.818,1/7/2008 19:00,0.032736842,1.318
45,0.818,1/7/2008 20:00,0.2,1.319
46,0.818,1/7/2008 21:00,0.0675,1.3185
47,0.818,1/7/2008 22:00,-0.319,1.32
48,0.818,1/7/2008 23:00,-0.68,1.3175
49,0.818,1/8/2008 0:00,-1.064941176,1.317411765
50,0.818,1/8/2008 1:00,-1.445,1.309
