index,well,date,tide,hw
1,1.168,3/30/2010 0:00,-1.2855,1.6795
2,1.188,3/30/2010 1:00,-1.7065,1.67
3,1.188,3/30/2010 2:00,-2.051,1.668
4,1.188,3/30/2010 3:00,-2.2435,1.669
5,1.188,3/30/2010 4:00,-2.0845,1.667
6,1.198,3/30/2010 5:00,-1.5335,1.6705
7,1.208,3/30/2010 6:00,-0.961,1.6645
8,1.208,3/30/2010 7:00,-0.3985,1.6655
9,1.218,3/30/2010 8:00,0.011,1.676
10,1.228,3/30/2010 9:00,0.1355,1.693
11,1.228,3/30/2010 10:00,-0.2075,1.685
12,1.228,3/30/2010 11:00,-0.777,1.691
13,1.228,3/30/2010 12:00,-1.2205,1.687
14,1.228,3/30/2010 13:00,-1.6605,1.683
15,1.228,3/30/2010 14:00,-2.076,1.681
16,1.238,3/30/2010 15:00,-2.3525,1.68
17,1.238,3/30/2010 16:00,-2.379,1.675
18,1.248,3/30/2010 17:00,-1.873,1.6675
19,1.248,3/30/2010 18:00,-1.1965,1.658
20,1.248,3/30/2010 19:00,-0.58,1.658
21,1.248,3/30/2010 20:00,-0.0455,1.662
22,1.248,3/30/2010 21:00,0.2135,1.6665
23,1.248,3/30/2010 22:00,0.0575,1.672
24,1.248,3/30/2010 23:00,-0.488153846,1.675692308
25,1.248,3/31/2010 0:00,-0.982,1.6635
26,1.248,3/31/2010 1:00,-1.439,1.659
27,1.248,3/31/2010 2:00,-1.889,1.66
28,1.248,3/31/2010 3:00,-2.243,1.66
29,1.248,3/31/2010 4:00,-2.405,1.657
30,1.248,3/31/2010 5:00,-2.138,1.658
31,1.248,3/31/2010 6:00,-1.582,1.6585
32,1.248,3/31/2010 7:00,-1.0405,1.6595
33,1.248,3/31/2010 8:00,-0.513,1.664
34,1.248,3/31/2010 9:00,-0.118,1.666
35,1.248,3/31/2010 10:00,-0.0625,1.663
36,1.248,3/31/2010 11:00,-0.4925,1.6575
37,1.248,3/31/2010 12:00,-0.973,1.6505
38,1.248,3/31/2010 13:00,-1.407,1.6485
39,1.248,3/31/2010 14:00,-1.843,1.647
40,1.248,3/31/2010 15:00,-2.2275,1.642
41,1.248,3/31/2010 16:00,-2.473,1.636
42,1.248,3/31/2010 17:00,-2.429368421,1.628526316
43,1.248,3/31/2010 18:00,-1.890421053,1.628
44,1.248,3/31/2010 19:00,-1.2545,1.6305
45,1.258,3/31/2010 20:00,-0.6445,1.638
46,1.258,3/31/2010 21:00,-0.1425,1.642
47,1.258,3/31/2010 22:00,0.1245,1.6435
48,1.258,3/31/2010 23:00,-0.018,1.6415
49,1.258,4/1/2010 0:00,-0.57,1.638
50,1.258,4/1/2010 1:00,-1.016,1.638
51,1.258,4/1/2010 2:00,-1.431,1.636
52,1.258,4/1/2010 3:00,-1.822,1.6345
53,1.258,4/1/2010 4:00,-2.0955,1.6285
54,1.258,4/1/2010 5:00,-2.1315,1.628
55,1.258,4/1/2010 6:00,-1.6885,1.629
56,1.258,4/1/2010 7:00,-1.136736842,1.632210526
57,1.248,4/1/2010 8:00,-0.612,1.638
58,1.248,4/1/2010 9:00,-0.1225,1.637
59,1.248,4/1/2010 10:00,0.1565,1.6255
60,1.248,4/1/2010 11:00,0.077,1.61
61,1.248,4/1/2010 12:00,-0.454,1.596
62,1.248,4/1/2010 13:00,-0.901,1.582
63,1.248,4/1/2010 14:00,-1.3465,1.5765
64,1.248,4/1/2010 15:00,-1.7425,1.5865
65,1.248,4/1/2010 16:00,-2.087,1.5825
66,1.248,4/1/2010 17:00,-2.278,1.5805
67,1.248,4/1/2010 18:00,-2.092,1.594
68,1.248,4/1/2010 19:00,-1.517,1.6025
69,1.238,4/1/2010 20:00,-0.951,1.608
70,1.238,4/1/2010 21:00,-0.3735,1.608
71,1.238,4/1/2010 22:00,0.0695,1.6115
72,1.238,4/1/2010 23:00,0.271,1.6175
73,1.238,4/2/2010 0:00,0.0615,1.614
74,1.238,4/2/2010 1:00,-0.4685,1.609
75,1.238,4/2/2010 2:00,-0.89,1.608
