index,well,date,tide
1,0.801,3/30/2010 0:00,-1.424
2,0.801,3/30/2010 1:00,-1.936
3,0.801,3/30/2010 2:00,-2.274
4,0.801,3/30/2010 3:00,-2.349
5,0.801,3/30/2010 4:00,-2.051
6,0.791,3/30/2010 5:00,-1.594
7,0.781,3/30/2010 6:00,-1.014
8,0.781,3/30/2010 7:00,-0.466
9,0.781,3/30/2010 8:00,-0.013
10,0.771,3/30/2010 9:00,0.167
11,0.771,3/30/2010 10:00,-0.118
12,0.771,3/30/2010 11:00,-0.83
13,0.771,3/30/2010 12:00,-1.453
14,0.771,3/30/2010 13:00,-1.913
15,0.771,3/30/2010 14:00,-2.339
16,0.771,3/30/2010 15:00,-2.572
17,0.771,3/30/2010 16:00,-2.477
18,0.771,3/30/2010 17:00,-2.018
19,0.771,3/30/2010 18:00,-1.342
20,0.751,3/30/2010 19:00,-0.663
21,0.751,3/30/2010 20:00,-0.128
22,0.751,3/30/2010 21:00,0.266
23,0.741,3/30/2010 22:00,0.233
24,0.711,3/30/2010 23:00,-0.39
25,0.711,3/31/2010 0:00,-1.086
26,0.701,3/31/2010 1:00,-1.65
27,0.701,3/31/2010 2:00,-2.119
28,0.701,3/31/2010 3:00,-2.461
29,0.691,3/31/2010 4:00,-2.523
30,0.681,3/31/2010 5:00,-2.208
31,0.681,3/31/2010 6:00,-1.68
32,0.681,3/31/2010 7:00,-1.119
33,0.671,3/31/2010 8:00,-0.604
34,0.661,3/31/2010 9:00,-0.19
35,0.661,3/31/2010 10:00,-0.046
36,0.661,3/31/2010 11:00,-0.456
37,0.661,3/31/2010 12:00,-1.145
38,0.641,3/31/2010 13:00,-1.663
39,0.641,3/31/2010 14:00,-2.142
40,0.641,3/31/2010 15:00,-2.572
41,0.631,3/31/2010 16:00,-2.769
42,0.631,3/31/2010 17:00,-2.579
43,0.621,3/31/2010 18:00,-2.041
44,0.621,3/31/2010 19:00,-1.365
45,0.611,3/31/2010 20:00,-0.748
46,0.611,3/31/2010 21:00,-0.217
47,0.601,3/31/2010 22:00,0.115
48,0.591,3/31/2010 23:00,0.043
49,0.581,4/1/2010 0:00,-0.535
50,0.581,4/1/2010 1:00,-1.148
51,0.581,4/1/2010 2:00,-1.611
52,0.581,4/1/2010 3:00,-2.011
53,0.571,4/1/2010 4:00,-2.251
54,0.571,4/1/2010 5:00,-2.208
55,0.561,4/1/2010 6:00,-1.801
56,0.561,4/1/2010 7:00,-1.227
57,0.561,4/1/2010 8:00,-0.725
58,0.551,4/1/2010 9:00,-0.226
59,0.551,4/1/2010 10:00,0.089
60,0.541,4/1/2010 11:00,0.069
61,0.541,4/1/2010 12:00,-0.486
62,0.541,4/1/2010 13:00,-1.119
63,0.541,4/1/2010 14:00,-1.634
64,0.541,4/1/2010 15:00,-2.1
65,0.541,4/1/2010 16:00,-2.444
66,0.541,4/1/2010 17:00,-2.516
67,0.541,4/1/2010 18:00,-2.221
68,0.541,4/1/2010 19:00,-1.68
69,0.541,4/1/2010 20:00,-1.073
70,0.541,4/1/2010 21:00,-0.505
71,0.511,4/1/2010 22:00,-0.03
72,0.501,4/1/2010 23:00,0.21
73,0.501,4/2/2010 0:00,0.046
74,0.501,4/2/2010 1:00,-0.541
75,0.501,4/2/2010 2:00,-1.093
76,0.491,4/2/2010 3:00,-1.522
77,0.491,4/2/2010 4:00,-1.896
78,0.491,4/2/2010 5:00,-2.073
79,0.491,4/2/2010 6:00,-1.955
80,0.481,4/2/2010 7:00,-1.545
81,0.481,4/2/2010 8:00,-1.004
82,0.481,4/2/2010 9:00,-0.577
83,0.471,4/2/2010 10:00,-0.161
84,0.471,4/2/2010 11:00,0.072
85,0.471,4/2/2010 12:00,-0.033
86,0.471,4/2/2010 13:00,-0.574
87,0.471,4/2/2010 14:00,-1.168
88,0.471,4/2/2010 15:00,-1.614
89,0.471,4/2/2010 16:00,-2.07
90,0.471,4/2/2010 17:00,-2.306
91,0.471,4/2/2010 18:00,-2.293
92,0.471,4/2/2010 19:00,-1.988
93,0.471,4/2/2010 20:00,-1.467
94,0.451,4/2/2010 21:00,-0.928
95,0.451,4/2/2010 22:00,-0.446
96,0.451,4/2/2010 23:00,-0.049
97,0.451,4/3/2010 0:00,0.095
98,0.441,4/3/2010 1:00,-0.184
99,0.441,4/3/2010 2:00,-0.702
100,0.441,4/3/2010 3:00,-1.155
101,0.441,4/3/2010 4:00,-1.535
102,0.441,4/3/2010 5:00,-1.844
103,0.441,4/3/2010 6:00,-1.942
104,0.441,4/3/2010 7:00,-1.762
105,0.431,4/3/2010 8:00,-1.348
106,0.431,4/3/2010 9:00,-0.928
107,0.431,4/3/2010 10:00,-0.512
108,0.431,4/3/2010 11:00,-0.207
109,0.431,4/3/2010 12:00,-0.069
110,0.431,4/3/2010 13:00,-0.282
111,0.431,4/3/2010 14:00,-0.81
112,0.431,4/3/2010 15:00,-1.28
113,0.431,4/3/2010 16:00,-1.654
114,0.431,4/3/2010 17:00,-2.008
115,0.431,4/3/2010 18:00,-2.172
116,0.431,4/3/2010 19:00,-2.126
